//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/Library/PrivateFrameworks/IconFoundation.framework/Versions/A/IconFoundation
// arch:    arm64e
// uuid:    731868E5-7869-3A78-90C6-09CAF5A9F3D5
// text:    0x0000000191cd4000
// count:   2269 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
					<integer>1</integer>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.38</real>
						<key>DelayMS</key>
						<real>0</real>
						<key>DurationMS</key>
						<real>4.85</real>
						<key>FrequencykHz</key>
						<real>0.1</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>16</integer>
			<key>Default</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1</real>
					<key>Light</key>
					<real>1</real>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>0</integer>
					<key>DurationMS</key>
					<real>6</real>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>ToneMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1</real>
					<key>Light</key>
					<integer>1</integer>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.38</real>
						<key>DelayMS</key>
						<real>0</real>
						<key>DurationMS</key>
						<real>4.85</real>
						<key>FrequencykHz</key>
						<real>0.1</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
			</dict>
		</dict>
	</array>
	<key>Actuator_14</key>
	<array>
		<dict>
			<key>ActuationID</key>
			<integer>1</integer>
			<key>Default</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<integer>1</integer>
					<key>Light</key>
					<real>0.85</real>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>24</integer>
					<key>DurationMS</key>
					<integer>7</integer>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>2</integer>
			<key>Default</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1.3</real>
					<key>Light</key>
					<real>0.85</real>
					<key>Medium</key>
					<integer>1</integer>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>33</integer>
					<key>DurationMS</key>
					<integer>6</integer>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>ToneMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>0.85</real>
					<key>Light</key>
					<integer>0</integer>
					<key>Medium</key>
					<real>0.65</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.08</real>
						<key>DelayMS</key>
						<real>3.5</real>
						<key>DurationMS</key>
						<real>0.7</real>
						<key>FrequencykHz</key>
						<real>1.9</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
					<dict>
						<key>Amplitude</key>
						<real>0.09</real>
						<key>DelayMS</key>
						<real>2.55</real>
						<key>DurationMS</key>
						<integer>2</integer>
						<key>FrequencykHz</key>
						<real>0.75</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
			</dict>
			<key>Silent</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1.3</real>
					<key>Light</key>
					<real>0.85</real>
					<key>Medium</key>
					<integer>1</integer>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>39</integer>
					<key>DurationMS</key>
					<integer>6</integer>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>ToneMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>0.85</real>
					<key>Light</key>
					<integer>0</integer>
					<key>Medium</key>
					<real>0.6</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.013</real>
						<key>DelayMS</key>
						<real>4.5</real>
						<key>DurationMS</key>
						<real>0.6</real>
						<key>FrequencykHz</key>
						<real>2.5</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
					<dict>
						<key>Amplitude</key>
						<real>0.025</real>
						<key>DelayMS</key>
						<real>1.3</real>
						<key>DurationMS</key>
						<real>1.93</real>
						<key>FrequencykHz</key>
						<real>0.78</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>3</integer>
			<key>Default</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1.2</real>
					<key>Light</key>
					<real>0.9</real>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>20</integer>
					<key>DurationMS</key>
					<real>7</real>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>4</integer>
			<key>Default</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1.3</real>
					<key>Light</key>
					<real>0.85</real>
					<key>Medium</key>
					<integer>1</integer>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>35</integer>
					<key>DurationMS</key>
					<integer>7</integer>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>ToneMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>0.85</real>
					<key>Light</key>
					<integer>0</integer>
					<key>Medium</key>
					<real>0.65</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.025</real>
						<key>DelayMS</key>
						<real>2</real>
						<key>DurationMS</key>
						<real>0.6</real>
						<key>FrequencykHz</key>
						<real>1.1</real>
						<key>Type</key>
						<string>Square</string>
					</dict>
					<dict>
						<key>Amplitude</key>
						<real>0.035</real>
						<key>DelayMS</key>
						<real>4.1</real>
						<key>DurationMS</key>
						<real>1.4</real>
						<key>FrequencykHz</key>
						<real>0.6899999999999999</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>5</integer>
			<key>Default</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1.2</real>
					<key>Light</key>
					<real>0.8</real>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>23</integer>
					<key>DurationMS</key>
					<real>7</real>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>6</integer>
			<key>Default</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1.3</real>
					<key>Light</key>
					<real>0.9</real>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>48</integer>
					<key>DurationMS</key>
					<integer>7</integer>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>ToneMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>0.9</real>
					<key>Light</key>
					<real>0.4</real>
					<key>Medium</key>
					<real>0.7</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.03</real>
						<key>DelayMS</key>
						<real>2</real>
						<key>DurationMS</key>
						<real>2</real>
						<key>FrequencykHz</key>
						<real>0.75</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>15</integer>
			<key>Default</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1</real>
					<key>Light</key>
					<real>1</real>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>0</integer>
					<key>DurationMS</key>
					<real>6</real>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>ToneMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1</real>
					<key>Light</key>
					<integer>1</integer>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.38</real>
						<key>DelayMS</key>
						<real>0</real>
						<key>DurationMS</key>
						<real>4.85</real>
						<key>FrequencykHz</key>
						<real>0.1</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>16</integer>
			<key>Default</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1</real>
					<key>Light</key>
					<real>1</real>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>0</integer>
					<key>DurationMS</key>
					<real>6</real>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>ToneMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1</real>
					<key>Light</key>
					<integer>1</integer>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.38</real>
						<key>DelayMS</key>
						<real>0</real>
						<key>DurationMS</key>
						<real>4.85</real>
						<key>FrequencykHz</key>
						<real>0.1</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
			</dict>
		</dict>
	</array>
	<key>Actuator_15</key>
	<array>
		<dict>
			<key>ActuationID</key>
			<integer>1</integer>
			<key>Default</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<integer>1</integer>
					<key>Light</key>
					<real>0.85</real>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>23</integer>
					<key>DurationMS</key>
					<integer>7</integer>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>2</integer>
			<key>Default</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1.3</real>
					<key>Light</key>
					<real>0.85</real>
					<key>Medium</key>
					<integer>1</integer>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>32</integer>
					<key>DurationMS</key>
					<integer>6</integer>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>ToneMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>0.85</real>
					<key>Light</key>
					<integer>0</integer>
					<key>Medium</key>
					<real>0.65</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.07000000000000001</real>
						<key>DelayMS</key>
						<real>2.55</real>
						<key>DurationMS</key>
						<real>2.52</real>
						<key>FrequencykHz</key>
						<real>0.6</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
					<dict>
						<key>Amplitude</key>
						<real>0.07000000000000001</real>
						<key>DelayMS</key>
						<real>3.57</real>
						<key>DurationMS</key>
						<real>0.7</real>
						<key>FrequencykHz</key>
						<real>1.3</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
			</dict>
			<key>Silent</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1.3</real>
					<key>Light</key>
					<real>0.85</real>
					<key>Medium</key>
					<integer>1</integer>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>37</integer>
					<key>DurationMS</key>
					<integer>6</integer>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>ToneMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>0.85</real>
					<key>Light</key>
					<integer>0</integer>
					<key>Medium</key>
					<real>0.6</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.014</real>
						<key>DelayMS</key>
						<real>1.5</real>
						<key>DurationMS</key>
						<real>1.6</real>
						<key>FrequencykHz</key>
						<real>0.95</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
					<dict>
						<key>Amplitude</key>
						<real>0.015</real>
						<key>DelayMS</key>
						<real>4.75</real>
						<key>DurationMS</key>
						<real>0.38</real>
						<key>FrequencykHz</key>
						<real>2.7</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>3</integer>
			<key>Default</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1.2</real>
					<key>Light</key>
					<real>0.9</real>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>20</integer>
					<key>DurationMS</key>
					<real>7</real>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>4</integer>
			<key>Default</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1.3</real>
					<key>Light</key>
					<real>0.85</real>
					<key>Medium</key>
					<integer>1</integer>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>35</integer>
					<key>DurationMS</key>
					<integer>7</integer>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>ToneMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>0.85</real>
					<key>Light</key>
					<integer>0</integer>
					<key>Medium</key>
					<real>0.65</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.025</real>
						<key>DelayMS</key>
						<real>2</real>
						<key>DurationMS</key>
						<real>0.6</real>
						<key>FrequencykHz</key>
						<real>1.1</real>
						<key>Type</key>
						<string>Square</string>
					</dict>
					<dict>
						<key>Amplitude</key>
						<real>0.035</real>
						<key>DelayMS</key>
						<real>4.1</real>
						<key>DurationMS</key>
						<real>1.4</real>
						<key>FrequencykHz</key>
						<real>0.6899999999999999</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>5</integer>
			<key>Default</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1.2</real>
					<key>Light</key>
					<real>0.8</real>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>23</integer>
					<key>DurationMS</key>
					<real>7</real>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>6</integer>
			<key>Default</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1.3</real>
					<key>Light</key>
					<real>0.9</real>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>48</integer>
					<key>DurationMS</key>
					<integer>7</integer>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>ToneMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>0.9</real>
					<key>Light</key>
					<real>0.4</real>
					<key>Medium</key>
					<real>0.7</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.03</real>
						<key>DelayMS</key>
						<real>2</real>
						<key>DurationMS</key>
						<real>2</real>
						<key>FrequencykHz</key>
						<real>0.75</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>15</integer>
			<key>Default</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1</real>
					<key>Light</key>
					<real>1</real>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>0</integer>
					<key>DurationMS</key>
					<real>6</real>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>ToneMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1</real>
					<key>Light</key>
					<integer>1</integer>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.38</real>
						<key>DelayMS</key>
						<real>0</real>
						<key>DurationMS</key>
						<real>4.85</real>
						<key>FrequencykHz</key>
						<real>0.1</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>16</integer>
			<key>Default</key>
			<dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1</real>
					<key>Light</key>
					<real>1</real>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>0</integer>
					<key>DurationMS</key>
					<real>6</real>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>ToneMultipliers</key>
				<dict>
					<key>Firm</key>
					<real>1</real>
					<key>Light</key>
					<integer>1</integer>
					<key>Medium</key>
					<real>1</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.38</real>
						<key>DelayMS</key>
						<real>0</real>
						<key>DurationMS</key>
						<real>4.85</real>
						<key>FrequencykHz</key>
						<real>0.1</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
			</dict>
		</dict>
	</array>
	<key>Default</key>
	<array>
		<dict>
			<key>ActuationID</key>
			<integer>0</integer>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>1</integer>
			<key>Default</key>
			<dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>19</integer>
					<key>DurationMS</key>
					<real>6</real>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Light</key>
					<real>0.8</real>
					<key>Medium</key>
					<real>1</real>
					<key>Firm</key>
					<real>1.2</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.01</real>
						<key>DelayMS</key>
						<real>1.5</real>
						<key>DurationMS</key>
						<real>2</real>
						<key>FrequencykHz</key>
						<real>3.6</real>
						<key>Type</key>
						<string>Square</string>
					</dict>
					<dict>
						<key>Amplitude</key>
						<real>0.02</real>
						<key>DelayMS</key>
						<real>1</real>
						<key>DurationMS</key>
						<real>3</real>
						<key>FrequencykHz</key>
						<real>1.18</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
				<key>ToneMultipliers</key>
				<dict>
					<key>Light</key>
					<real>0</real>
					<key>Medium</key>
					<real>0</real>
					<key>Firm</key>
					<real>0.2</real>
				</dict>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>2</integer>
			<key>Default</key>
			<dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>22</integer>
					<key>DurationMS</key>
					<real>6</real>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Light</key>
					<real>0.9</real>
					<key>Medium</key>
					<real>1</real>
					<key>Firm</key>
					<real>1.3</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.01</real>
						<key>DelayMS</key>
						<real>1.5</real>
						<key>DurationMS</key>
						<real>2</real>
						<key>FrequencykHz</key>
						<real>3.6</real>
						<key>Type</key>
						<string>Square</string>
					</dict>
					<dict>
						<key>Amplitude</key>
						<real>0.05</real>
						<key>DelayMS</key>
						<real>1</real>
						<key>DurationMS</key>
						<real>3</real>
						<key>FrequencykHz</key>
						<real>1.18</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
				<key>ToneMultipliers</key>
				<dict>
					<key>Light</key>
					<real>0.4</real>
					<key>Medium</key>
					<real>0.65</real>
					<key>Firm</key>
					<real>0.95</real>
				</dict>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>3</integer>
			<key>Default</key>
			<dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>19</integer>
					<key>DurationMS</key>
					<real>6</real>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Light</key>
					<real>0.8</real>
					<key>Medium</key>
					<real>1</real>
					<key>Firm</key>
					<real>1.2</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.01</real>
						<key>DelayMS</key>
						<real>1.5</real>
						<key>DurationMS</key>
						<real>2</real>
						<key>FrequencykHz</key>
						<real>3.6</real>
						<key>Type</key>
						<string>Square</string>
					</dict>
					<dict>
						<key>Amplitude</key>
						<real>0.02</real>
						<key>DelayMS</key>
						<real>1</real>
						<key>DurationMS</key>
						<real>3</real>
						<key>FrequencykHz</key>
						<real>1.18</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
				<key>ToneMultipliers</key>
				<dict>
					<key>Light</key>
					<real>0</real>
					<key>Medium</key>
					<real>0</real>
					<key>Firm</key>
					<real>0.2</real>
				</dict>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>4</integer>
			<key>Default</key>
			<dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>22</integer>
					<key>DurationMS</key>
					<real>6</real>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Light</key>
					<real>0.9</real>
					<key>Medium</key>
					<real>1</real>
					<key>Firm</key>
					<real>1.3</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.01</real>
						<key>DelayMS</key>
						<real>1.5</real>
						<key>DurationMS</key>
						<real>2</real>
						<key>FrequencykHz</key>
						<real>3.6</real>
						<key>Type</key>
						<string>Square</string>
					</dict>
					<dict>
						<key>Amplitude</key>
						<real>0.05</real>
						<key>DelayMS</key>
						<real>1</real>
						<key>DurationMS</key>
						<real>3</real>
						<key>FrequencykHz</key>
						<real>1.18</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
				<key>ToneMultipliers</key>
				<dict>
					<key>Light</key>
					<real>0.4</real>
					<key>Medium</key>
					<real>0.65</real>
					<key>Firm</key>
					<real>0.95</real>
				</dict>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>5</integer>
			<key>Default</key>
			<dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>19</integer>
					<key>DurationMS</key>
					<real>6</real>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Light</key>
					<real>0.8</real>
					<key>Medium</key>
					<real>1</real>
					<key>Firm</key>
					<real>1.2</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.01</real>
						<key>DelayMS</key>
						<real>1.5</real>
						<key>DurationMS</key>
						<real>2</real>
						<key>FrequencykHz</key>
						<real>3.6</real>
						<key>Type</key>
						<string>Square</string>
					</dict>
					<dict>
						<key>Amplitude</key>
						<real>0.02</real>
						<key>DelayMS</key>
						<real>1</real>
						<key>DurationMS</key>
						<real>3</real>
						<key>FrequencykHz</key>
						<real>1.18</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
				<key>ToneMultipliers</key>
				<dict>
					<key>Light</key>
					<real>0</real>
					<key>Medium</key>
					<real>0</real>
					<key>Firm</key>
					<real>0.2</real>
				</dict>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>6</integer>
			<key>Default</key>
			<dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>35</integer>
					<key>DurationMS</key>
					<real>6</real>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Light</key>
					<real>0.9</real>
					<key>Medium</key>
					<real>1</real>
					<key>Firm</key>
					<real>1.3</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.015</real>
						<key>DelayMS</key>
						<real>1.5</real>
						<key>DurationMS</key>
						<real>2</real>
						<key>FrequencykHz</key>
						<real>3.6</real>
						<key>Type</key>
						<string>Square</string>
					</dict>
					<dict>
						<key>Amplitude</key>
						<real>0.06</real>
						<key>DelayMS</key>
						<real>1</real>
						<key>DurationMS</key>
						<real>3</real>
						<key>FrequencykHz</key>
						<real>1.263</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
				<key>ToneMultipliers</key>
				<dict>
					<key>Light</key>
					<real>0.4</real>
					<key>Medium</key>
					<real>0.65</real>
					<key>Firm</key>
					<real>0.95</real>
				</dict>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>15</integer>
			<key>Default</key>
			<dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>0</integer>
					<key>DurationMS</key>
					<real>6</real>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Light</key>
					<real>1</real>
					<key>Medium</key>
					<real>1</real>
					<key>Firm</key>
					<real>1</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.29</real>
						<key>DelayMS</key>
						<real>0</real>
						<key>DurationMS</key>
						<real>6</real>
						<key>FrequencykHz</key>
						<real>0.1</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
				<key>ToneMultipliers</key>
				<dict>
					<key>Light</key>
					<real>1</real>
					<key>Medium</key>
					<real>1</real>
					<key>Firm</key>
					<real>1</real>
				</dict>
			</dict>
		</dict>
		<dict>
			<key>ActuationID</key>
			<integer>16</integer>
			<key>Default</key>
			<dict>
				<key>BaseWaveform</key>
				<dict>
					<key>Amplitude</key>
					<integer>0</integer>
					<key>DurationMS</key>
					<real>6</real>
					<key>Type</key>
					<string>Gaussian</string>
				</dict>
				<key>BaseMultipliers</key>
				<dict>
					<key>Light</key>
					<real>1</real>
					<key>Medium</key>
					<real>1</real>
					<key>Firm</key>
					<real>1</real>
				</dict>
				<key>Tones</key>
				<array>
					<dict>
						<key>Amplitude</key>
						<real>0.29</real>
						<key>DelayMS</key>
						<real>0</real>
						<key>DurationMS</key>
						<real>6</real>
						<key>FrequencykHz</key>
						<real>0.1</real>
						<key>Type</key>
						<string>Sine</string>
					</dict>
				</array>
				<key>ToneMultipliers</key>
				<dict>
					<key>Light</key>
					<real>1</real>
					<key>Medium</key>
					<real>1</real>
					<key>Firm</key>
					<real>1</real>
				</dict>
			</dict>
		</dict>
	</array>
</dict>
</plist>
]
0x0000000191cea05c  0x00000134  __TEXT,__text  objc  -[IFGraphicsContext drawSymbolImage:centeredInRect:]  // -[IFGraphicsContext ?]
0x0000000191cea190  0x00000288  __TEXT,__text  objc  -[IFGraphicsContext drawText:fontName:fontSize:inRect:]  // -[IFGraphicsContext ?]
0x0000000191cea418  0x00000008  __TEXT,__text  objc  -[IFGraphicsContext strokeRect:]  // -[IFGraphicsContext ?]
