//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/Assistant/Plugins/SynapseSyncPlugin.assistantBundle/Contents/MacOS/SynapseSyncPlugin
// arch:    arm64e
// uuid:    C1BE6496-16E3-3F1F-93EC-1A7C01750284
// text:    0x00000001e523a000
// count:   12 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001e523aed8  0x00000050  __TEXT,__text  objc  -[SynapseSyncPlugin ?]
0x00000001e523af28  0x00000434  __TEXT,__text  objc  -[SynapseSyncPlugin ?]
0x00000001e523b35c  0x00000710  __TEXT,__text  objc  -[SynapseSyncPlugin ]
0x00000001e523ba6c  0x000000fc  __TEXT,__text  objc  -[SynapseSyncPlugin ]
0x00000001e523bb68  0x00000068  __TEXT,__text  objc  -[SynapseSyncPlugin ]
0x00000001e523bbd0  0x000000b0  __TEXT,__text  sub  sub_1e523bbd0
0x00000001e523bc80  0x00000384  __TEXT,__text  objc  -[SynapseSyncPlugin ?]
0x00000001e523c004  0x00000410  __TEXT,__text  objc  -[SynapseSyncPlugin ]
0x00000001e523c414  0x00000050  __TEXT,__text  objc  -[SynapseSyncPlugin ?]
0x00000001e523c464  0x00000050  __TEXT,__text  objc  -[SynapseSyncPlugin ]
0x00000001e523c4b4  0x000000a4  __TEXT,__text  objc  -[?(SynapseSyncIdentifiers) ]
0x00000001e523c558  0x00000000  __TEXT,__text  objc  +[?(SynapseSyncIdentifiers) ]
